customer_id,first_name,last_name,sales_id
1,John,Doe,1001
2,Jane,Smith,1002
3,David,Johnson,1003
4,Sarah,Williams,1004
5,Michael,Brown,1005
6,Emily,Davis,1006
7,Christopher,Wilson,1007
8,Amanda,Garcia,1008
9,Daniel,Martinez,1009
10,Jessica,Rodriguez,1010
11,Matthew,Hernandez,1011
12,Ashley,Lopez,1012
13,Andrew,Gonzalez,1013
14,Olivia,Perez,1014
15,Ethan,Torres,1015
16,Isabella,Ramirez,1016
17,Joshua,Barnes,1017
18,Sophia,Fisher,1018
19,William,King,1019
20,Mia,Wright,1020
21,James,Lee,1021
22,Ava,Adams,1022
23,Noah,Nelson,1023
24,Mia,Martinez,1024
25,Liam,Lopez,1025
26,Emma,Taylor,1026
27,Elijah,Thomas,1027
28,Amelia,Harris,1028
29,Oliver,Clark,1029
30,Harper,Lewis,1030
31,Benjamin,Robinson,1031
32,Charlotte,Walker,1032
33,Lucas,Perez,1033
34,Lily,Hill,1034
35,Henry,Scott,1035
36,Grace,Gonzales,1036
37,Jackson,Young,1037
38,Victoria,Allen,1038
39,Aiden,Carter,1039
40,Zoe,Hall,1040
41,Charles,Perez,1041
42,Nora,Evans,1042
43,Leo,Long,1043
44,Eleanor,Morris,1044
45,Theodore,Murphy,1045
46,Ella,Rivera,1046
47,Lincoln,Cooper,1047
48,Clara,Reed,1048
49,Xavier,Bailey,1049
50,Lucy,Sanders,1050
51,Himanshu,Sharma,1051
52,Ram,Charan,1052
53,Sindhu,v,1053
54,Shyam,m,1054
55,David,boon,1055
56,Radha,Rani,1056
